origin,dest,time
NORTH PARK,WOODLAWN,5147
NORTH PARK,ROGERS PARK,3007
NORTH PARK,JEFFERSON PARK,1921
NORTH PARK,FOREST GLEN,1036
NORTH PARK,ALBANY PARK,1086
NORTH PARK,PORTAGE PARK,2304
NORTH PARK,IRVING PARK,1468
NORTH PARK,DUNNING,3032
NORTH PARK,MONTCLARE,3180
NORTH PARK,BELMONT CRAGIN,2908
NORTH PARK,WEST RIDGE,2102
NORTH PARK,HERMOSA,2267
NORTH PARK,AVONDALE,1700
NORTH PARK,LOGAN SQUARE,2134
NORTH PARK,HUMBOLDT PARK,3090
NORTH PARK,WEST TOWN,2747
NORTH PARK,AUSTIN,3954
NORTH PARK,WEST GARFIELD PARK,3507
NORTH PARK,EAST GARFIELD PARK,3805
NORTH PARK,NEAR WEST SIDE,3913
NORTH PARK,NORTH LAWNDALE,3909
NORTH PARK,UPTOWN,2800
NORTH PARK,SOUTH LAWNDALE,5210
NORTH PARK,LOWER WEST SIDE,4372
NORTH PARK,NEAR SOUTH SIDE,4195
NORTH PARK,BRIDGEPORT,4927
NORTH PARK,NORWOOD PARK,2467
NORTH PARK,NEAR NORTH SIDE,3224
NORTH PARK,LOOP,3519
NORTH PARK,SOUTH SHORE,5843
NORTH PARK,CHATHAM,4893
NORTH PARK,AVALON PARK,5581
NORTH PARK,SOUTH CHICAGO,6019
NORTH PARK,BURNSIDE,5890
NORTH PARK,MCKINLEY PARK,4448
NORTH PARK,LAKE VIEW,3379
NORTH PARK,CALUMET HEIGHTS,5652
NORTH PARK,ROSELAND,5031
NORTH PARK,NORTH CENTER,2815
NORTH PARK,PULLMAN,5613
NORTH PARK,SOUTH DEERING,-1
NORTH PARK,EAST SIDE,6820
NORTH PARK,WEST PULLMAN,6497
NORTH PARK,RIVERDALE,-1
NORTH PARK,HEGEWISCH,-1
NORTH PARK,undefined,-1
NORTH PARK,ARCHER HEIGHTS,5518
NORTH PARK,BRIGHTON PARK,4467
NORTH PARK,BRIDGEPORT,4378
NORTH PARK,NEW CITY,4142
NORTH PARK,WEST ELSDON,6067
NORTH PARK,GAGE PARK,4748
NORTH PARK,CLEARING,5796
NORTH PARK,WEST LAWN,6567
NORTH PARK,CHICAGO LAWN,5177
NORTH PARK,WEST ENGLEWOOD,5478
NORTH PARK,ENGLEWOOD,5546
NORTH PARK,GREATER GRAND CROSSING,4666
NORTH PARK,LINCOLN PARK,3070
NORTH PARK,ASHBURN,6189
NORTH PARK,AUBURN GRESHAM,6175
NORTH PARK,BEVERLY,5710
NORTH PARK,WASHINGTON HEIGHTS,5319
NORTH PARK,MOUNT GREENWOOD,7774
NORTH PARK,MORGAN PARK,5776
NORTH PARK,OHARE,-1
NORTH PARK,EDGEWATER,2440
NORTH PARK,EDISON PARK,3384
ALBANY PARK,DOUGLAS,4371
ALBANY PARK,OAKLAND,5308
ALBANY PARK,FULLER PARK,4225
ALBANY PARK,GRAND BOULEVARD,4651
ALBANY PARK,KENWOOD,4058
ALBANY PARK,LINCOLN SQUARE,1437
ALBANY PARK,WASHINGTON PARK,5334
ALBANY PARK,HYDE PARK,4607
ALBANY PARK,WOODLAWN,5069
ALBANY PARK,ROGERS PARK,2914
ALBANY PARK,JEFFERSON PARK,1379
ALBANY PARK,FOREST GLEN,1576
ALBANY PARK,NORTH PARK,1083
ALBANY PARK,PORTAGE PARK,1902
ALBANY PARK,IRVING PARK,1306
ALBANY PARK,DUNNING,2720
ALBANY PARK,MONTCLARE,2878
ALBANY PARK,BELMONT CRAGIN,2430
ALBANY PARK,WEST RIDGE,1793
ALBANY PARK,HERMOSA,2144
ALBANY PARK,AVONDALE,1472
ALBANY PARK,LOGAN SQUARE,2062
ALBANY PARK,HUMBOLDT PARK,2866
ALBANY PARK,WEST TOWN,2675
ALBANY PARK,AUSTIN,3163
ALBANY PARK,WEST GARFIELD PARK,3433
ALBANY PARK,EAST GARFIELD PARK,3669
ALBANY PARK,NEAR WEST SIDE,3691
ALBANY PARK,NORTH LAWNDALE,3879
ALBANY PARK,UPTOWN,1988
ALBANY PARK,SOUTH LAWNDALE,4490
ALBANY PARK,LOWER WEST SIDE,4377
ALBANY PARK,NEAR SOUTH SIDE,3942
ALBANY PARK,BRIDGEPORT,4390
ALBANY PARK,NORWOOD PARK,1985
ALBANY PARK,NEAR NORTH SIDE,3271
ALBANY PARK,LOOP,3572
ALBANY PARK,SOUTH SHORE,5773
ALBANY PARK,CHATHAM,5243
ALBANY PARK,AVALON PARK,5362
ALBANY PARK,SOUTH CHICAGO,6519
ALBANY PARK,BURNSIDE,6151
ALBANY PARK,MCKINLEY PARK,4581
ALBANY PARK,LAKE VIEW,2260
ALBANY PARK,CALUMET HEIGHTS,5342
ALBANY PARK,ROSELAND,5531
ALBANY PARK,NORTH CENTER,1621
ALBANY PARK,PULLMAN,6113
ALBANY PARK,SOUTH DEERING,-1
ALBANY PARK,EAST SIDE,6486
ALBANY PARK,WEST PULLMAN,6836
ALBANY PARK,RIVERDALE,-1
ALBANY PARK,HEGEWISCH,-1
ALBANY PARK,undefined,-1
ALBANY PARK,ARCHER HEIGHTS,5206
ALBANY PARK,BRIGHTON PARK,4967
ALBANY PARK,BRIDGEPORT,4261
ALBANY PARK,NEW CITY,4642
ALBANY PARK,WEST ELSDON,5755
ALBANY PARK,GAGE PARK,5248
ALBANY PARK,CLEARING,6028
ALBANY PARK,WEST LAWN,6255
ALBANY PARK,CHICAGO LAWN,5677
ALBANY PARK,WEST ENGLEWOOD,5509
ALBANY PARK,ENGLEWOOD,5260
ALBANY PARK,GREATER GRAND CROSSING,4801
ALBANY PARK,LINCOLN PARK,2100
ALBANY PARK,ASHBURN,5969
ALBANY PARK,AUBURN GRESHAM,6147
ALBANY PARK,BEVERLY,6210
ALBANY PARK,WASHINGTON HEIGHTS,5819
ALBANY PARK,MOUNT GREENWOOD,7462
ALBANY PARK,MORGAN PARK,6276
ALBANY PARK,OHARE,-1
ALBANY PARK,EDGEWATER,2559
ALBANY PARK,EDISON PARK,2482
PORTAGE PARK,DOUGLAS,4560
PORTAGE PARK,OAKLAND,5240
PORTAGE PARK,FULLER PARK,3844
PORTAGE PARK,GRAND BOULEVARD,5003
PORTAGE PARK,KENWOOD,4123
PORTAGE PARK,LINCOLN SQUARE,2944
PORTAGE PARK,WASHINGTON PARK,5519
PORTAGE PARK,HYDE PARK,4704
PORTAGE PARK,WOODLAWN,4930
PORTAGE PARK,ROGERS PARK,4495
PORTAGE PARK,JEFFERSON PARK,1281
PORTAGE PARK,FOREST GLEN,2600
PORTAGE PARK,NORTH PARK,2253
PORTAGE PARK,ALBANY PARK,2094
PORTAGE PARK,IRVING PARK,1232
PORTAGE PARK,DUNNING,1292
PORTAGE PARK,MONTCLARE,2059
PORTAGE PARK,BELMONT CRAGIN,892
PORTAGE PARK,WEST RIDGE,3932
PORTAGE PARK,HERMOSA,2326
PORTAGE PARK,AVONDALE,1924
PORTAGE PARK,LOGAN SQUARE,2073
PORTAGE PARK,HUMBOLDT PARK,2652
PORTAGE PARK,WEST TOWN,2686
PORTAGE PARK,AUSTIN,2137
PORTAGE PARK,WEST GARFIELD PARK,2859
PORTAGE PARK,EAST GARFIELD PARK,3337
PORTAGE PARK,NEAR WEST SIDE,3702
PORTAGE PARK,NORTH LAWNDALE,3921
PORTAGE PARK,UPTOWN,3261
PORTAGE PARK,SOUTH LAWNDALE,4952
PORTAGE PARK,LOWER WEST SIDE,4491
PORTAGE PARK,NEAR SOUTH SIDE,4104
PORTAGE PARK,BRIDGEPORT,4009
PORTAGE PARK,NORWOOD PARK,2258
PORTAGE PARK,NEAR NORTH SIDE,3343
PORTAGE PARK,LOOP,3458
PORTAGE PARK,SOUTH SHORE,5069
PORTAGE PARK,CHATHAM,4862
PORTAGE PARK,AVALON PARK,4981
PORTAGE PARK,SOUTH CHICAGO,6138
PORTAGE PARK,BURNSIDE,6009
PORTAGE PARK,MCKINLEY PARK,4406
PORTAGE PARK,LAKE VIEW,3442
PORTAGE PARK,CALUMET HEIGHTS,5771
PORTAGE PARK,ROSELAND,5150
PORTAGE PARK,NORTH CENTER,2681
PORTAGE PARK,PULLMAN,5732
PORTAGE PARK,SOUTH DEERING,-1
PORTAGE PARK,EAST SIDE,6105
PORTAGE PARK,WEST PULLMAN,6616
PORTAGE PARK,RIVERDALE,-1
PORTAGE PARK,HEGEWISCH,-1
PORTAGE PARK,undefined,-1
PORTAGE PARK,ARCHER HEIGHTS,5200
PORTAGE PARK,BRIGHTON PARK,4586
PORTAGE PARK,BRIDGEPORT,4497
PORTAGE PARK,NEW CITY,4261
PORTAGE PARK,WEST ELSDON,4866
PORTAGE PARK,GAGE PARK,4867
PORTAGE PARK,CLEARING,5945
PORTAGE PARK,WEST LAWN,5366
PORTAGE PARK,CHICAGO LAWN,5296
PORTAGE PARK,WEST ENGLEWOOD,5422
PORTAGE PARK,ENGLEWOOD,5891
PORTAGE PARK,GREATER GRAND CROSSING,4420
PORTAGE PARK,LINCOLN PARK,3729
PORTAGE PARK,ASHBURN,6308
PORTAGE PARK,AUBURN GRESHAM,6114
PORTAGE PARK,BEVERLY,5829
PORTAGE PARK,WASHINGTON HEIGHTS,5438
PORTAGE PARK,MOUNT GREENWOOD,6573
PORTAGE PARK,MORGAN PARK,5895
PORTAGE PARK,OHARE,-1
PORTAGE PARK,EDGEWATER,4278
PORTAGE PARK,EDISON PARK,2384
IRVING PARK,DOUGLAS,3849
IRVING PARK,OAKLAND,4184
IRVING PARK,FULLER PARK,3253
IRVING PARK,GRAND BOULEVARD,3739
IRVING PARK,KENWOOD,3532
IRVING PARK,LINCOLN SQUARE,1689
IRVING PARK,WASHINGTON PARK,4255
IRVING PARK,HYDE PARK,4113
IRVING PARK,WOODLAWN,4339
IRVING PARK,ROGERS PARK,3132
IRVING PARK,JEFFERSON PARK,2049
IRVING PARK,FOREST GLEN,1825
IRVING PARK,NORTH PARK,1332
IRVING PARK,ALBANY PARK,1173
IRVING PARK,PORTAGE PARK,1082
IRVING PARK,DUNNING,2047
IRVING PARK,MONTCLARE,2948
IRVING PARK,BELMONT CRAGIN,1754
IRVING PARK,WEST RIDGE,2880
IRVING PARK,HERMOSA,1714
IRVING PARK,AVONDALE,1053
IRVING PARK,LOGAN SQUARE,1482
IRVING PARK,HUMBOLDT PARK,2447
IRVING PARK,WEST TOWN,2095
IRVING PARK,AUSTIN,3122
IRVING PARK,WEST GARFIELD PARK,3003
IRVING PARK,EAST GARFIELD PARK,3250
IRVING PARK,NEAR WEST SIDE,3111
IRVING PARK,NORTH LAWNDALE,3460
IRVING PARK,UPTOWN,2835
IRVING PARK,SOUTH LAWNDALE,4071
IRVING PARK,LOWER WEST SIDE,4050
IRVING PARK,NEAR SOUTH SIDE,3587
IRVING PARK,BRIDGEPORT,3366
IRVING PARK,NORWOOD PARK,1635
IRVING PARK,NEAR NORTH SIDE,2731
IRVING PARK,LOOP,2867
IRVING PARK,SOUTH SHORE,4661
IRVING PARK,CHATHAM,4271
IRVING PARK,AVALON PARK,4300
IRVING PARK,SOUTH CHICAGO,5817
IRVING PARK,BURNSIDE,5118
IRVING PARK,MCKINLEY PARK,3905
IRVING PARK,LAKE VIEW,2301
IRVING PARK,CALUMET HEIGHTS,5360
IRVING PARK,ROSELAND,4469
IRVING PARK,NORTH CENTER,1482
IRVING PARK,PULLMAN,5291
IRVING PARK,SOUTH DEERING,-1
IRVING PARK,EAST SIDE,5424
IRVING PARK,WEST PULLMAN,5575
IRVING PARK,RIVERDALE,-1
IRVING PARK,HEGEWISCH,-1
IRVING PARK,undefined,-1
IRVING PARK,ARCHER HEIGHTS,4626
IRVING PARK,BRIGHTON PARK,4554
IRVING PARK,BRIDGEPORT,3712
IRVING PARK,NEW CITY,3880
IRVING PARK,WEST ELSDON,5175
IRVING PARK,GAGE PARK,4186
IRVING PARK,CLEARING,5114
IRVING PARK,WEST LAWN,5675
IRVING PARK,CHICAGO LAWN,4602
IRVING PARK,WEST ENGLEWOOD,4921
IRVING PARK,ENGLEWOOD,3928
IRVING PARK,GREATER GRAND CROSSING,3739
IRVING PARK,LINCOLN PARK,2681
IRVING PARK,ASHBURN,5267
IRVING PARK,AUBURN GRESHAM,5673
IRVING PARK,BEVERLY,5418
IRVING PARK,WASHINGTON HEIGHTS,4877
IRVING PARK,MOUNT GREENWOOD,6882
IRVING PARK,MORGAN PARK,5334
IRVING PARK,OHARE,-1
IRVING PARK,EDGEWATER,3088
IRVING PARK,EDISON PARK,2582
DUNNING,DOUGLAS,5506
DUNNING,OAKLAND,6045
DUNNING,FULLER PARK,4730
DUNNING,GRAND BOULEVARD,5442
DUNNING,KENWOOD,5281
DUNNING,LINCOLN SQUARE,3415
DUNNING,WASHINGTON PARK,5958
DUNNING,HYDE PARK,4957
DUNNING,WOODLAWN,6242
DUNNING,ROGERS PARK,5009
DUNNING,JEFFERSON PARK,2596
DUNNING,FOREST GLEN,3546
DUNNING,NORTH PARK,3139
DUNNING,ALBANY PARK,2980
DUNNING,PORTAGE PARK,1443
DUNNING,IRVING PARK,2260
DUNNING,MONTCLARE,1078
DUNNING,BELMONT CRAGIN,1731
DUNNING,WEST RIDGE,4308
DUNNING,HERMOSA,2762
DUNNING,AVONDALE,2525
DUNNING,LOGAN SQUARE,3234
DUNNING,HUMBOLDT PARK,2715
DUNNING,WEST TOWN,3572
DUNNING,AUSTIN,2520
DUNNING,WEST GARFIELD PARK,4002
DUNNING,EAST GARFIELD PARK,3816
DUNNING,NEAR WEST SIDE,4588
DUNNING,NORTH LAWNDALE,5094
DUNNING,UPTOWN,3952
DUNNING,SOUTH LAWNDALE,5705
DUNNING,LOWER WEST SIDE,4952
DUNNING,NEAR SOUTH SIDE,5067
DUNNING,BRIDGEPORT,5387
DUNNING,NORWOOD PARK,1210
DUNNING,NEAR NORTH SIDE,3744
DUNNING,LOOP,4344
DUNNING,SOUTH SHORE,6015
DUNNING,CHATHAM,5748
DUNNING,AVALON PARK,6076
DUNNING,SOUTH CHICAGO,6514
DUNNING,BURNSIDE,6385
DUNNING,MCKINLEY PARK,5028
DUNNING,LAKE VIEW,3505
DUNNING,CALUMET HEIGHTS,6147
DUNNING,ROSELAND,5886
DUNNING,NORTH CENTER,2744
DUNNING,PULLMAN,6716
DUNNING,SOUTH DEERING,-1
DUNNING,EAST SIDE,7315
DUNNING,WEST PULLMAN,6992
DUNNING,RIVERDALE,-1
DUNNING,HEGEWISCH,-1
DUNNING,undefined,-1
DUNNING,ARCHER HEIGHTS,6013
DUNNING,BRIGHTON PARK,5862
DUNNING,BRIDGEPORT,5383
DUNNING,NEW CITY,6125
DUNNING,WEST ELSDON,6562
DUNNING,GAGE PARK,5058
DUNNING,CLEARING,6891
DUNNING,WEST LAWN,7062
DUNNING,CHICAGO LAWN,5487
DUNNING,WEST ENGLEWOOD,6375
DUNNING,ENGLEWOOD,6156
DUNNING,GREATER GRAND CROSSING,5548
DUNNING,LINCOLN PARK,4105
DUNNING,ASHBURN,6701
DUNNING,AUBURN GRESHAM,6986
DUNNING,BEVERLY,7015
DUNNING,WASHINGTON HEIGHTS,6766
DUNNING,MOUNT GREENWOOD,8269
DUNNING,MORGAN PARK,6536
DUNNING,OHARE,-1
DUNNING,EDGEWATER,4654
DUNNING,EDISON PARK,3184
MONTCLARE,DOUGLAS,5191
MONTCLARE,OAKLAND,5317
MONTCLARE,FULLER PARK,4625
MONTCLARE,GRAND BOULEVARD,5080
MONTCLARE,KENWOOD,4966
MONTCLARE,LINCOLN SQUARE,4152
MONTCLARE,WASHINGTON PARK,5596
MONTCLARE,HYDE PARK,5337
MONTCLARE,WOODLAWN,6011
MONTCLARE,ROGERS PARK,5923
MONTCLARE,JEFFERSON PARK,2851
MONTCLARE,FOREST GLEN,3998
MONTCLARE,NORTH PARK,3844
MONTCLARE,ALBANY PARK,3685
MONTCLARE,PORTAGE PARK,1991
MONTCLARE,IRVING PARK,3245
MONTCLARE,DUNNING,1072
MONTCLARE,BELMONT CRAGIN,1164
MONTCLARE,WEST RIDGE,5218
MONTCLARE,HERMOSA,1863
MONTCLARE,AVONDALE,2755
MONTCLARE,LOGAN SQUARE,2493
MONTCLARE,HUMBOLDT PARK,2101
MONTCLARE,WEST TOWN,3437
MONTCLARE,AUSTIN,1814
MONTCLARE,WEST GARFIELD PARK,2936
MONTCLARE,EAST GARFIELD PARK,3414
MONTCLARE,NEAR WEST SIDE,3873
MONTCLARE,NORTH LAWNDALE,3790
MONTCLARE,UPTOWN,4820
MONTCLARE,SOUTH LAWNDALE,4553
MONTCLARE,LOWER WEST SIDE,4779
MONTCLARE,NEAR SOUTH SIDE,4934
MONTCLARE,BRIDGEPORT,5107
MONTCLARE,NORWOOD PARK,2174
MONTCLARE,NEAR NORTH SIDE,4720
MONTCLARE,LOOP,4209
MONTCLARE,SOUTH SHORE,6623
MONTCLARE,CHATHAM,5643
MONTCLARE,AVALON PARK,5462
MONTCLARE,SOUTH CHICAGO,6919
MONTCLARE,BURNSIDE,6569
MONTCLARE,MCKINLEY PARK,5109
MONTCLARE,LAKE VIEW,4097
MONTCLARE,CALUMET HEIGHTS,6161
MONTCLARE,ROSELAND,5803
MONTCLARE,NORTH CENTER,3365
MONTCLARE,PULLMAN,6401
MONTCLARE,SOUTH DEERING,-1
MONTCLARE,EAST SIDE,6586
MONTCLARE,WEST PULLMAN,6737
MONTCLARE,RIVERDALE,-1
MONTCLARE,HEGEWISCH,-1
MONTCLARE,undefined,-1
MONTCLARE,ARCHER HEIGHTS,4649
MONTCLARE,BRIGHTON PARK,4956
MONTCLARE,BRIDGEPORT,5068
MONTCLARE,NEW CITY,5072
MONTCLARE,WEST ELSDON,5198
MONTCLARE,GAGE PARK,5767
MONTCLARE,CLEARING,6277
MONTCLARE,WEST LAWN,5698
MONTCLARE,CHICAGO LAWN,6196
MONTCLARE,WEST ENGLEWOOD,6013
MONTCLARE,ENGLEWOOD,5390
MONTCLARE,GREATER GRAND CROSSING,5233
MONTCLARE,LINCOLN PARK,4065
MONTCLARE,ASHBURN,6070
MONTCLARE,AUBURN GRESHAM,6536
MONTCLARE,BEVERLY,6700
MONTCLARE,WASHINGTON HEIGHTS,6459
MONTCLARE,MOUNT GREENWOOD,6905
MONTCLARE,MORGAN PARK,6916
MONTCLARE,OHARE,-1
MONTCLARE,EDGEWATER,5568
MONTCLARE,EDISON PARK,3564
BELMONT CRAGIN,DOUGLAS,4221
BELMONT CRAGIN,OAKLAND,4670
BELMONT CRAGIN,FULLER PARK,3745
BELMONT CRAGIN,GRAND BOULEVARD,4021
BELMONT CRAGIN,KENWOOD,4354
BELMONT CRAGIN,LINCOLN SQUARE,3267
BELMONT CRAGIN,WASHINGTON PARK,4537
BELMONT CRAGIN,HYDE PARK,4457
BELMONT CRAGIN,WOODLAWN,5161
BELMONT CRAGIN,ROGERS PARK,5089
BELMONT CRAGIN,JEFFERSON PARK,1905
BELMONT CRAGIN,FOREST GLEN,3536
BELMONT CRAGIN,NORTH PARK,3129
BELMONT CRAGIN,ALBANY PARK,2984
BELMONT CRAGIN,PORTAGE PARK,1045
BELMONT CRAGIN,IRVING PARK,2027
BELMONT CRAGIN,DUNNING,1696
BELMONT CRAGIN,MONTCLARE,1065
BELMONT CRAGIN,WEST RIDGE,4187
BELMONT CRAGIN,HERMOSA,1170
BELMONT CRAGIN,AVONDALE,1866
BELMONT CRAGIN,LOGAN SQUARE,1839
BELMONT CRAGIN,HUMBOLDT PARK,1820
BELMONT CRAGIN,WEST TOWN,3052
BELMONT CRAGIN,AUSTIN,1335
BELMONT CRAGIN,WEST GARFIELD PARK,2582
BELMONT CRAGIN,EAST GARFIELD PARK,2155
BELMONT CRAGIN,NEAR WEST SIDE,2602
BELMONT CRAGIN,NORTH LAWNDALE,3764
BELMONT CRAGIN,UPTOWN,3885
BELMONT CRAGIN,SOUTH LAWNDALE,3610
BELMONT CRAGIN,LOWER WEST SIDE,4293
BELMONT CRAGIN,NEAR SOUTH SIDE,3585
BELMONT CRAGIN,BRIDGEPORT,4240
BELMONT CRAGIN,NORWOOD PARK,2312
BELMONT CRAGIN,NEAR NORTH SIDE,3211
BELMONT CRAGIN,LOOP,3332
BELMONT CRAGIN,SOUTH SHORE,4943
BELMONT CRAGIN,CHATHAM,4763
BELMONT CRAGIN,AVALON PARK,5121
BELMONT CRAGIN,SOUTH CHICAGO,5649
BELMONT CRAGIN,BURNSIDE,5610
BELMONT CRAGIN,MCKINLEY PARK,3737
BELMONT CRAGIN,LAKE VIEW,3384
BELMONT CRAGIN,CALUMET HEIGHTS,5192
BELMONT CRAGIN,ROSELAND,5021
BELMONT CRAGIN,NORTH CENTER,2623
BELMONT CRAGIN,PULLMAN,5963
BELMONT CRAGIN,SOUTH DEERING,-1
BELMONT CRAGIN,EAST SIDE,6336
BELMONT CRAGIN,WEST PULLMAN,6127
BELMONT CRAGIN,RIVERDALE,-1
BELMONT CRAGIN,HEGEWISCH,-1
BELMONT CRAGIN,undefined,-1
BELMONT CRAGIN,ARCHER HEIGHTS,3888
BELMONT CRAGIN,BRIGHTON PARK,3925
BELMONT CRAGIN,BRIDGEPORT,4173
BELMONT CRAGIN,NEW CITY,4190
BELMONT CRAGIN,WEST ELSDON,4437
BELMONT CRAGIN,GAGE PARK,4588
BELMONT CRAGIN,CLEARING,4871
BELMONT CRAGIN,WEST LAWN,4937
BELMONT CRAGIN,CHICAGO LAWN,5004
BELMONT CRAGIN,WEST ENGLEWOOD,4954
BELMONT CRAGIN,ENGLEWOOD,4909
BELMONT CRAGIN,GREATER GRAND CROSSING,5196
BELMONT CRAGIN,LINCOLN PARK,3408
BELMONT CRAGIN,ASHBURN,5819
BELMONT CRAGIN,AUBURN GRESHAM,5505
BELMONT CRAGIN,BEVERLY,6060
BELMONT CRAGIN,WASHINGTON HEIGHTS,5669
BELMONT CRAGIN,MOUNT GREENWOOD,6144
BELMONT CRAGIN,MORGAN PARK,6126
BELMONT CRAGIN,OHARE,-1
BELMONT CRAGIN,EDGEWATER,4734
BELMONT CRAGIN,EDISON PARK,3188
WEST RIDGE,DOUGLAS,4815
WEST RIDGE,OAKLAND,5114
WEST RIDGE,FULLER PARK,4399
WEST RIDGE,GRAND BOULEVARD,5185
WEST RIDGE,KENWOOD,4818
WEST RIDGE,LINCOLN SQUARE,997
WEST RIDGE,WASHINGTON PARK,5204
WEST RIDGE,HYDE PARK,5189
WEST RIDGE,WOODLAWN,5707
WEST RIDGE,ROGERS PARK,1847
WEST RIDGE,JEFFERSON PARK,3046
WEST RIDGE,FOREST GLEN,1806
WEST RIDGE,NORTH PARK,1920
WEST RIDGE,ALBANY PARK,2205
WEST RIDGE,PORTAGE PARK,3116
WEST RIDGE,IRVING PARK,2179
WEST RIDGE,DUNNING,4156
WEST RIDGE,MONTCLARE,4562
WEST RIDGE,BELMONT CRAGIN,4041
WEST RIDGE,HERMOSA,3355
WEST RIDGE,AVONDALE,2419
WEST RIDGE,LOGAN SQUARE,2552
WEST RIDGE,HUMBOLDT PARK,3626
WEST RIDGE,WEST TOWN,3797
WEST RIDGE,AUSTIN,4526
WEST RIDGE,WEST GARFIELD PARK,4187
WEST RIDGE,EAST GARFIELD PARK,3716
WEST RIDGE,NEAR WEST SIDE,4701
WEST RIDGE,NORTH LAWNDALE,4706
WEST RIDGE,UPTOWN,2352
WEST RIDGE,SOUTH LAWNDALE,5317
WEST RIDGE,LOWER WEST SIDE,5007
WEST RIDGE,NEAR SOUTH SIDE,4689
WEST RIDGE,BRIDGEPORT,5056
WEST RIDGE,NORWOOD PARK,4053
WEST RIDGE,NEAR NORTH SIDE,3445
WEST RIDGE,LOOP,4055
WEST RIDGE,SOUTH SHORE,6299
WEST RIDGE,CHATHAM,5417
WEST RIDGE,AVALON PARK,5745
WEST RIDGE,SOUTH CHICAGO,6903
WEST RIDGE,BURNSIDE,6054
WEST RIDGE,MCKINLEY PARK,4684
WEST RIDGE,LAKE VIEW,2434
WEST RIDGE,CALUMET HEIGHTS,5816
WEST RIDGE,ROSELAND,5555
WEST RIDGE,NORTH CENTER,1800
WEST RIDGE,PULLMAN,6385
WEST RIDGE,SOUTH DEERING,-1
WEST RIDGE,EAST SIDE,6984
WEST RIDGE,WEST PULLMAN,6661
WEST RIDGE,RIVERDALE,-1
WEST RIDGE,HEGEWISCH,-1
WEST RIDGE,undefined,-1
WEST RIDGE,ARCHER HEIGHTS,5766
WEST RIDGE,BRIGHTON PARK,5125
WEST RIDGE,BRIDGEPORT,4750
WEST RIDGE,NEW CITY,5056
WEST RIDGE,WEST ELSDON,5481
WEST RIDGE,GAGE PARK,5290
WEST RIDGE,CLEARING,6428
WEST RIDGE,WEST LAWN,5981
WEST RIDGE,CHICAGO LAWN,5719
WEST RIDGE,WEST ENGLEWOOD,5623
WEST RIDGE,ENGLEWOOD,5374
WEST RIDGE,GREATER GRAND CROSSING,5217
WEST RIDGE,LINCOLN PARK,2682
WEST RIDGE,ASHBURN,6221
WEST RIDGE,AUBURN GRESHAM,6171
WEST RIDGE,BEVERLY,6684
WEST RIDGE,WASHINGTON HEIGHTS,6443
WEST RIDGE,MOUNT GREENWOOD,7188
WEST RIDGE,MORGAN PARK,6900
WEST RIDGE,OHARE,-1
WEST RIDGE,EDGEWATER,1912
WEST RIDGE,EDISON PARK,4826
HERMOSA,DOUGLAS,4292
HERMOSA,OAKLAND,5229
HERMOSA,FULLER PARK,4146
HERMOSA,GRAND BOULEVARD,4092
HERMOSA,KENWOOD,3979
HERMOSA,LINCOLN SQUARE,3246
HERMOSA,WASHINGTON PARK,4608
HERMOSA,HYDE PARK,4528
HERMOSA,WOODLAWN,5232
HERMOSA,ROGERS PARK,4335
HERMOSA,JEFFERSON PARK,3076
HERMOSA,FOREST GLEN,2855
HERMOSA,NORTH PARK,2448
HERMOSA,ALBANY PARK,2289
HERMOSA,PORTAGE PARK,2216
HERMOSA,IRVING PARK,1849
HERMOSA,DUNNING,2151
HERMOSA,MONTCLARE,1672
HERMOSA,BELMONT CRAGIN,1063
HERMOSA,WEST RIDGE,3573
HERMOSA,AVONDALE,1286
HERMOSA,LOGAN SQUARE,1055
HERMOSA,HUMBOLDT PARK,1653
HERMOSA,WEST TOWN,2749
HERMOSA,AUSTIN,2430
HERMOSA,WEST GARFIELD PARK,2218
HERMOSA,EAST GARFIELD PARK,2646
HERMOSA,NEAR WEST SIDE,3524
HERMOSA,NORTH LAWNDALE,3070
HERMOSA,UPTOWN,3771
HERMOSA,SOUTH LAWNDALE,3327
HERMOSA,LOWER WEST SIDE,4745
HERMOSA,NEAR SOUTH SIDE,3975
HERMOSA,BRIDGEPORT,4311
HERMOSA,NORWOOD PARK,2781
HERMOSA,NEAR NORTH SIDE,3192
HERMOSA,LOOP,3280
HERMOSA,SOUTH SHORE,5694
HERMOSA,CHATHAM,5164
HERMOSA,AVALON PARK,5283
HERMOSA,SOUTH CHICAGO,6440
HERMOSA,BURNSIDE,6311
HERMOSA,MCKINLEY PARK,4264
HERMOSA,LAKE VIEW,2961
HERMOSA,CALUMET HEIGHTS,5263
HERMOSA,ROSELAND,5452
HERMOSA,NORTH CENTER,2572
HERMOSA,PULLMAN,6034
HERMOSA,SOUTH DEERING,-1
HERMOSA,EAST SIDE,6407
HERMOSA,WEST PULLMAN,6918
HERMOSA,RIVERDALE,-1
HERMOSA,HEGEWISCH,-1
HERMOSA,undefined,-1
HERMOSA,ARCHER HEIGHTS,3721
HERMOSA,BRIGHTON PARK,4457
HERMOSA,BRIDGEPORT,4244
HERMOSA,NEW CITY,4563
HERMOSA,WEST ELSDON,4270
HERMOSA,GAGE PARK,5102
HERMOSA,CLEARING,5001
HERMOSA,WEST LAWN,4770
HERMOSA,CHICAGO LAWN,5075
